hitid,uid,ranking
3,51,"[406, 244, 186, 450, 46, 395, 332]"
3,53,"[167, 450, 244, 395]"
3,58,"[167, 107, 148, 332, 349, 186, 46, 406, 116, 96, 295]"
3,61,"[450, 332, 295, 400, 349, 148, 186, 231, 116]"
3,67,"[107, 116, 395]"
3,71,"[392, 96, 231, 148, 107, 431, 116, 244, 167, 186, 216]"
3,74,"[46, 116, 395, 332, 349, 295, 216, 450, 186, 148]"
3,81,"[46, 406, 231, 186, 450, 295, 116]"
3,82,"[46, 349, 167, 231, 395, 332, 295, 148, 116]"
3,83,"[332, 231, 186, 216, 116, 450, 400, 148, 349]"
3,84,"[332, 46, 148, 406, 186, 231, 349, 450, 400, 116, 216, 395, 295]"
3,85,"[148, 244, 231, 186, 216, 332, 116, 295, 46]"
3,90,"[349, 431, 231, 450, 216, 186, 107, 46, 116, 332, 395, 167, 295, 400, 148]"
3,98,"[116, 395, 244, 46, 349, 151, 107, 96, 332, 148]"
3,102,"[186, 349, 216, 395, 46, 107, 231, 116, 450]"
3,103,"[116, 244, 186]"
3,104,"[231, 431, 406, 395, 96, 148, 107, 295, 332, 349, 244, 46, 450, 167]"
3,106,"[167, 148, 431, 107, 46, 349, 116]"
3,108,"[186, 349, 116, 395, 295, 216, 107]"
3,117,"[107, 46, 395, 244, 406, 116]"
3,119,"[349, 332, 148]"
3,120,"[46, 450, 332, 349, 395, 216, 295, 116, 186, 406, 151, 244, 167, 148, 231, 392, 107, 96, 400, 431]"
3,124,"[431, 406, 46, 231, 186, 349, 107, 332, 395, 450, 116, 148, 295, 400]"
3,125,"[116, 167, 395, 216, 231, 46]"
3,131,"[46, 395, 186, 116, 450, 332, 216]"
3,134,"[186, 167, 332, 216, 231]"
3,135,"[186, 295, 395, 450, 231, 151, 116, 107]"
3,136,"[295, 186, 431, 450, 244, 107, 231, 216, 349, 116, 46, 400, 332]"
3,144,"[450, 406, 395, 349, 46, 107, 116, 332]"
3,145,"[395, 216, 332, 46, 186, 107, 116, 349, 400, 148, 167, 450, 231]"
3,160,"[450, 244, 107, 216, 116, 295]"
3,161,"[148, 450, 231, 395, 151, 167, 116, 186, 406, 46, 400, 349, 244, 107, 295, 332, 392, 431, 216]"
3,163,"[450, 216, 186, 395]"
3,165,"[107, 216, 244, 406, 349, 116, 295]"
3,168,"[295, 395, 431, 332]"
3,178,"[151, 450, 406, 116, 46, 395, 148, 400, 332, 431, 186, 244, 216, 231]"
3,179,"[46, 332, 349, 295, 395, 186, 216, 116, 450]"
3,180,"[46, 116, 167, 332, 107, 406, 349, 395, 231, 295]"
3,184,"[244, 450, 186, 107, 431, 231, 116, 295, 400, 395, 46, 332]"
3,185,"[395, 450, 46, 151, 349, 231, 167, 116]"
3,187,"[244, 186, 107, 450, 295, 46, 116]"
3,190,"[395, 46, 406, 116, 450]"
3,195,"[395, 244, 216, 406, 116, 450, 46, 148, 151, 431, 231, 400, 295]"
3,196,"[231, 431, 392, 349, 167, 244, 96, 400, 450, 295, 332, 116, 107, 395, 406, 186, 216]"
3,197,"[349, 406, 116, 231, 431, 107, 216, 46, 395, 400, 148, 450, 295, 332]"
3,201,"[295, 148, 450, 107, 395, 46]"
3,205,"[395, 107, 116, 244, 332, 450, 46, 186, 349, 400]"
3,211,"[148, 406, 395, 349, 231, 244, 186, 46, 332, 96, 295, 431, 450, 116, 151, 216, 400, 167, 107]"
3,212,"[244, 349, 46, 107, 295, 332, 231, 450, 186, 148, 431, 395, 151, 216]"
3,213,"[46, 107, 186, 406, 349, 244, 450, 332, 295, 395]"
3,214,"[46, 186, 116, 395]"
3,217,"[395, 46, 244, 406, 349, 148, 186, 450, 116, 400, 107, 295]"
3,224,"[395, 46, 116, 349, 332, 107, 186]"
3,228,"[186, 406, 431, 231, 107, 151, 116, 167, 295, 216, 332, 46]"
3,229,"[431, 231, 46, 186, 332, 216, 295]"
3,232,"[400, 216, 450, 107, 332, 295, 167, 349, 46, 186, 231, 406, 431, 116]"
3,233,"[349, 116, 46, 450, 231, 244, 107, 406, 167, 332, 431]"
3,234,"[116, 332, 46, 186]"
3,235,"[450, 406, 148, 332, 216, 231, 431, 349, 116, 392, 244, 167, 186, 46, 151, 96, 400, 107, 395, 295]"
3,240,"[349, 46, 295, 186, 107, 395, 450, 332, 231]"
3,242,"[349, 46, 295, 186, 332, 231, 450, 400, 244, 395, 216, 107, 148, 116]"
3,243,"[349, 244, 96, 450, 431, 406, 231, 395, 46, 107, 295]"
3,244,"[46, 395, 406, 450, 186, 231, 295, 244, 116, 332, 400, 96, 167, 148, 392]"
3,250,"[107, 349, 295, 186, 244, 332, 395, 151, 400, 116, 46, 148, 216]"
3,257,"[450, 244, 186, 395, 116, 295, 216, 231, 431, 46]"
3,261,"[186, 349, 231, 107, 431, 406, 116, 167, 148, 395, 295, 400, 450, 244, 332, 392, 96, 151, 46, 216]"
3,263,"[244, 406, 231]"
3,268,"[186, 395, 450, 244, 167, 295, 107, 46, 392, 406, 231, 431, 216, 116, 349, 332, 96]"
3,281,"[46, 450, 151, 116]"
3,285,"[186, 295, 349, 332]"
3,288,"[349, 244, 151, 107, 450, 46, 332, 395, 116]"
3,296,"[186, 216, 349, 46, 116, 107, 332, 148, 231, 431]"
3,297,"[450, 186, 116, 332, 216, 400, 46]"
3,299,"[186, 231, 295, 395, 349, 450, 116, 96, 400, 46]"
3,308,"[349, 395, 295, 231, 431, 450, 244, 186, 107, 151, 332, 406, 116, 167]"
3,310,"[395, 244, 450, 186, 295, 116, 148, 96, 46, 231, 400, 431, 151]"
3,311,"[450, 186, 349, 96, 332, 116, 400]"
3,312,"[244, 406, 148, 349, 46, 395, 216, 107]"
3,317,"[400, 332, 46, 450, 116, 148, 107]"
3,327,"[186, 349, 431, 406, 107, 46, 395, 116, 295, 450, 332, 231, 216, 148, 244]"
3,329,"[148, 116, 216]"
3,330,"[395, 186, 116, 46]"
3,331,"[107, 46, 395, 450, 231, 406, 244, 295, 431, 148, 349, 151, 332, 186, 216, 400, 167]"
3,332,"[231, 107, 244, 116, 395, 46, 406]"
3,338,"[151, 349, 186, 395, 46, 107, 244, 450, 295, 116, 231, 216, 400, 406, 167, 148]"
3,343,"[216, 148, 450, 332, 186, 400, 46, 116, 151]"
3,348,"[349, 186, 332, 216, 231, 46, 450, 295, 406, 107, 244, 400, 148, 116]"
4,4,"[437, 116, 391, 355, 174, 63, 283, 94]"
4,7,"[437, 391, 63, 116, 355, 283]"
4,27,"[283, 63, 391, 437, 116, 304, 174, 355]"
4,28,"[94, 63, 116, 391, 437, 304, 174, 283, 355]"
4,29,"[304, 222, 94, 88, 63, 116, 192, 174, 391, 437, 355]"
4,34,"[391, 437, 94, 283, 116, 192, 421, 174, 255]"
4,37,"[405, 94, 437, 116, 63, 174, 363, 283, 391]"
4,39,"[361, 283, 355, 405, 437, 255, 88, 94, 63, 174, 391]"
4,48,"[255, 283, 116, 437, 391, 174, 355]"
4,51,"[304, 63, 94, 116, 174]"
4,53,"[437, 116, 391, 174, 283]"
4,56,"[421, 174, 391, 63, 304, 355, 255, 222, 283, 437, 361, 94, 116]"
4,58,"[94, 437, 391, 174, 116, 283, 405, 63]"
4,60,"[116, 174, 283, 63, 437, 391]"
4,61,"[94, 63, 192, 437, 255, 361, 174, 355]"
4,67,"[255, 116, 437, 391]"
4,69,"[192, 94, 423, 361, 116, 222, 304, 255, 421, 363, 88, 355, 437, 391, 238, 63]"
4,71,"[88, 283, 63, 391, 405, 437, 116, 94, 355, 174, 255]"
4,74,"[437, 391, 94, 116, 355, 174, 63, 283]"
4,81,"[361, 421, 174, 437, 116, 391]"
4,83,"[361, 255, 391, 116, 283, 63, 437, 355, 174]"
4,84,"[94, 63, 116, 391, 437, 361, 363, 405, 283, 174]"
4,85,"[405, 255, 361, 63, 116, 437, 391, 174, 421, 355]"
4,90,"[405, 283, 423, 94, 88, 361, 192, 355, 437, 255, 421, 63, 116, 363, 391, 174]"
4,98,"[222, 116, 304, 174, 391, 421, 437]"
4,103,"[116, 437, 391]"
4,104,"[94, 437, 391, 174, 283, 421, 116, 361, 63]"
4,106,"[192, 391, 174, 361, 94, 437, 116]"
4,107,"[255, 355, 283, 174, 391, 116, 437]"
4,108,"[391, 116, 437]"
4,113,"[391, 437, 421, 361, 116, 174, 355, 283, 63]"
4,117,"[283, 363, 361, 88, 192, 391, 304, 437, 355, 116]"
4,119,"[361, 355, 437, 174]"
4,120,"[437, 363, 174, 391, 283, 361, 116, 423, 255, 421, 355, 63, 405, 359, 94, 88, 222, 238, 304, 192]"
4,124,"[222, 94, 405, 116, 437, 391, 304, 283, 63]"
4,125,"[283, 391, 116, 437, 174, 255, 355, 63]"
4,130,"[63, 421, 283, 304, 355, 255, 174, 437, 391, 116, 88]"
4,134,"[94, 63, 255, 405, 283, 391]"
4,136,"[423, 238, 255, 304, 359, 283, 361, 222, 192, 116, 437, 63, 421, 363, 391, 355, 174]"
4,144,"[94, 361, 391, 116, 437, 63, 174, 283]"
4,148,"[304, 174, 391, 63, 94, 222, 116, 355, 238, 283, 255, 437, 363, 88, 361, 423, 192, 405, 421, 359]"
4,160,"[63, 116, 174, 355, 437, 255, 391, 283]"
4,161,"[94, 63, 421, 304, 222, 116, 283, 174, 391, 437, 255, 355, 361, 405]"
4,163,"[391, 116, 304, 437, 222, 174]"
4,165,"[391, 63, 304, 405, 355, 437, 222, 174]"
4,168,"[63, 437, 255, 283]"
4,176,"[283, 174, 63]"
4,178,"[63, 361, 304, 437, 391, 283, 174, 355, 421]"
